disease,urgency,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Malaria,HIGH,headache,chills,fatigue,fever,high temperature,sweating,,
Malaria,HIGH,fever,chills,fatigue,headache,vomiting,,,
Malaria,HIGH,vomiting,sweating,fever,body ache,high temperature,fatigue,headache,
Malaria,HIGH,high temperature,sweating,body ache,fever,headache,vomiting,,
Malaria,HIGH,fever,high temperature,sweating,vomiting,fatigue,,,
Malaria,HIGH,chills,vomiting,fever,high temperature,headache,sweating,fatigue,body ache
Malaria,HIGH,fatigue,headache,chills,high temperature,fever,vomiting,body ache,
Malaria,HIGH,sweating,high temperature,vomiting,,,,,
Malaria,HIGH,chills,vomiting,sweating,fever,,,,
Malaria,HIGH,high temperature,sweating,vomiting,fatigue,body ache,chills,headache,fever
Malaria,HIGH,fever,body ache,high temperature,sweating,vomiting,fatigue,headache,chills
Malaria,HIGH,fever,vomiting,sweating,body ache,headache,fatigue,,
Malaria,HIGH,sweating,chills,fatigue,high temperature,vomiting,fever,headache,body ache
Malaria,HIGH,body ache,sweating,fatigue,vomiting,headache,fever,chills,
Malaria,HIGH,headache,chills,high temperature,sweating,fatigue,fever,vomiting,
Malaria,HIGH,chills,high temperature,vomiting,,,,,
Malaria,HIGH,body ache,headache,high temperature,,,,,
Malaria,HIGH,headache,body ache,high temperature,sweating,vomiting,fatigue,,
Malaria,HIGH,fatigue,chills,headache,high temperature,body ache,,,
Malaria,HIGH,headache,high temperature,fatigue,vomiting,chills,fever,sweating,body ache
Malaria,HIGH,chills,fever,fatigue,,,,,
Malaria,HIGH,fever,body ache,chills,fatigue,sweating,,,
Malaria,HIGH,headache,sweating,high temperature,body ache,,,,
Malaria,HIGH,vomiting,fever,chills,fatigue,sweating,body ache,,
Malaria,HIGH,chills,sweating,headache,vomiting,high temperature,fatigue,,
Malaria,HIGH,fatigue,chills,body ache,sweating,high temperature,vomiting,headache,fever
Malaria,HIGH,body ache,headache,chills,sweating,high temperature,,,
Malaria,HIGH,sweating,high temperature,vomiting,chills,body ache,,,
Malaria,HIGH,body ache,vomiting,high temperature,fever,sweating,chills,,
Malaria,HIGH,high temperature,body ache,vomiting,,,,,
Malaria,HIGH,vomiting,fatigue,headache,chills,sweating,body ache,fever,
Malaria,HIGH,high temperature,fever,vomiting,body ache,sweating,headache,,
Malaria,HIGH,sweating,fever,fatigue,body ache,chills,headache,vomiting,high temperature
Malaria,HIGH,high temperature,chills,body ache,,,,,
Malaria,HIGH,fever,high temperature,fatigue,vomiting,headache,,,
Malaria,HIGH,fatigue,headache,vomiting,,,,,
Malaria,HIGH,fever,vomiting,headache,sweating,,,,
Malaria,HIGH,sweating,vomiting,chills,body ache,,,,
Malaria,HIGH,chills,high temperature,fever,fatigue,sweating,body ache,vomiting,headache
Malaria,HIGH,chills,vomiting,body ache,fatigue,fever,,,
Malaria,HIGH,vomiting,fever,chills,body ache,sweating,high temperature,,
Malaria,HIGH,sweating,high temperature,headache,body ache,fatigue,,,
Malaria,HIGH,sweating,vomiting,chills,fatigue,body ache,high temperature,headache,
Malaria,HIGH,fatigue,chills,vomiting,headache,fever,sweating,,
Malaria,HIGH,fever,headache,chills,body ache,vomiting,fatigue,,
Malaria,HIGH,fatigue,body ache,high temperature,headache,fever,,,
Malaria,HIGH,fever,chills,fatigue,,,,,
Malaria,HIGH,sweating,vomiting,body ache,,,,,
Malaria,HIGH,chills,body ache,high temperature,vomiting,fever,headache,sweating,
Malaria,HIGH,chills,high temperature,fatigue,fever,headache,sweating,body ache,vomiting
Malaria,HIGH,vomiting,fatigue,chills,headache,sweating,fever,body ache,
Malaria,HIGH,fever,vomiting,high temperature,headache,,,,
Malaria,HIGH,fever,vomiting,headache,sweating,,,,
Malaria,HIGH,vomiting,headache,high temperature,sweating,,,,
Malaria,HIGH,vomiting,headache,fever,fatigue,sweating,high temperature,body ache,
Malaria,HIGH,sweating,body ache,vomiting,fatigue,high temperature,fever,chills,
Malaria,HIGH,fever,chills,body ache,vomiting,sweating,headache,fatigue,high temperature
Malaria,HIGH,vomiting,headache,high temperature,fever,,,,
Malaria,HIGH,sweating,headache,fever,high temperature,body ache,chills,fatigue,vomiting
Malaria,HIGH,chills,vomiting,fever,headache,,,,
Malaria,HIGH,fatigue,fever,chills,sweating,vomiting,body ache,high temperature,
Malaria,HIGH,high temperature,chills,fever,vomiting,headache,sweating,,
Malaria,HIGH,high temperature,vomiting,body ache,headache,fever,sweating,,
Malaria,HIGH,sweating,headache,fever,fatigue,vomiting,high temperature,,
Malaria,HIGH,high temperature,sweating,fatigue,,,,,
Malaria,HIGH,chills,sweating,vomiting,headache,,,,
Malaria,HIGH,fever,chills,headache,,,,,
Malaria,HIGH,headache,body ache,chills,fatigue,,,,
Malaria,HIGH,vomiting,sweating,chills,high temperature,headache,fatigue,fever,
Malaria,HIGH,fatigue,high temperature,chills,sweating,vomiting,fever,headache,
Malaria,HIGH,fever,high temperature,fatigue,sweating,body ache,chills,headache,vomiting
Malaria,HIGH,body ache,high temperature,sweating,headache,fatigue,,,
Malaria,HIGH,fever,vomiting,body ache,,,,,
Malaria,HIGH,chills,headache,body ache,,,,,
Malaria,HIGH,fatigue,body ache,vomiting,,,,,
Malaria,HIGH,body ache,fever,headache,fatigue,high temperature,sweating,vomiting,chills
Malaria,HIGH,fever,sweating,headache,body ache,,,,
Malaria,HIGH,sweating,fatigue,vomiting,high temperature,chills,,,
Malaria,HIGH,sweating,chills,body ache,fatigue,high temperature,,,
Malaria,HIGH,headache,high temperature,chills,fatigue,,,,
Typhoid,HIGH,headache,vomiting,diarrhea,abdominal pain,weakness,fever,loss of appetite,
Typhoid,HIGH,abdominal pain,loss of appetite,weakness,,,,,
Typhoid,HIGH,headache,diarrhea,weakness,loss of appetite,fever,vomiting,abdominal pain,
Typhoid,HIGH,diarrhea,weakness,abdominal pain,headache,vomiting,,,
Typhoid,HIGH,loss of appetite,diarrhea,vomiting,fever,weakness,headache,,
Typhoid,HIGH,headache,diarrhea,fever,,,,,
Typhoid,HIGH,abdominal pain,fever,loss of appetite,,,,,
Typhoid,HIGH,fever,headache,loss of appetite,diarrhea,,,,
Typhoid,HIGH,weakness,abdominal pain,vomiting,loss of appetite,diarrhea,headache,,
Typhoid,HIGH,diarrhea,loss of appetite,weakness,abdominal pain,vomiting,fever,headache,
Typhoid,HIGH,headache,diarrhea,fever,loss of appetite,abdominal pain,vomiting,weakness,
Typhoid,HIGH,diarrhea,abdominal pain,headache,loss of appetite,weakness,vomiting,,
Typhoid,HIGH,vomiting,fever,diarrhea,headache,abdominal pain,,,
Typhoid,HIGH,fever,abdominal pain,diarrhea,loss of appetite,headache,,,
Typhoid,HIGH,headache,vomiting,diarrhea,abdominal pain,fever,weakness,,
Typhoid,HIGH,headache,vomiting,weakness,abdominal pain,fever,diarrhea,loss of appetite,
Typhoid,HIGH,abdominal pain,vomiting,fever,,,,,
Typhoid,HIGH,loss of appetite,headache,fever,abdominal pain,diarrhea,vomiting,weakness,
Typhoid,HIGH,diarrhea,weakness,vomiting,headache,fever,,,
Typhoid,HIGH,abdominal pain,vomiting,loss of appetite,,,,,
Typhoid,HIGH,fever,vomiting,weakness,,,,,
Typhoid,HIGH,fever,abdominal pain,diarrhea,vomiting,loss of appetite,headache,,
Typhoid,HIGH,diarrhea,abdominal pain,fever,weakness,,,,
Typhoid,HIGH,headache,vomiting,loss of appetite,weakness,fever,diarrhea,,
Typhoid,HIGH,abdominal pain,diarrhea,headache,fever,vomiting,loss of appetite,,
Typhoid,HIGH,vomiting,weakness,fever,loss of appetite,abdominal pain,headache,diarrhea,
Typhoid,HIGH,weakness,loss of appetite,fever,,,,,
Typhoid,HIGH,weakness,vomiting,abdominal pain,,,,,
Typhoid,HIGH,loss of appetite,vomiting,abdominal pain,diarrhea,fever,,,
Typhoid,HIGH,vomiting,loss of appetite,abdominal pain,,,,,
Typhoid,HIGH,headache,abdominal pain,vomiting,,,,,
Typhoid,HIGH,headache,loss of appetite,fever,vomiting,weakness,abdominal pain,diarrhea,
Typhoid,HIGH,weakness,diarrhea,loss of appetite,fever,abdominal pain,vomiting,headache,
Typhoid,HIGH,weakness,headache,loss of appetite,,,,,
Typhoid,HIGH,vomiting,diarrhea,weakness,,,,,
Typhoid,HIGH,fever,loss of appetite,vomiting,weakness,,,,
Typhoid,HIGH,abdominal pain,fever,vomiting,,,,,
Typhoid,HIGH,abdominal pain,vomiting,loss of appetite,,,,,
Typhoid,HIGH,fever,abdominal pain,weakness,headache,loss of appetite,,,
Typhoid,HIGH,fever,vomiting,loss of appetite,weakness,,,,
Typhoid,HIGH,weakness,headache,abdominal pain,loss of appetite,vomiting,diarrhea,,
Typhoid,HIGH,loss of appetite,vomiting,headache,diarrhea,,,,
Typhoid,HIGH,abdominal pain,vomiting,diarrhea,,,,,
Typhoid,HIGH,vomiting,fever,loss of appetite,diarrhea,abdominal pain,weakness,headache,
Typhoid,HIGH,headache,diarrhea,fever,,,,,
Typhoid,HIGH,vomiting,loss of appetite,diarrhea,fever,headache,,,
Typhoid,HIGH,abdominal pain,fever,diarrhea,loss of appetite,headache,,,
Typhoid,HIGH,loss of appetite,abdominal pain,headache,vomiting,weakness,fever,diarrhea,
Typhoid,HIGH,weakness,loss of appetite,abdominal pain,vomiting,,,,
Typhoid,HIGH,headache,loss of appetite,diarrhea,weakness,,,,
Typhoid,HIGH,vomiting,headache,weakness,abdominal pain,,,,
Typhoid,HIGH,vomiting,abdominal pain,weakness,fever,,,,
Typhoid,HIGH,loss of appetite,headache,fever,weakness,diarrhea,,,
Typhoid,HIGH,headache,loss of appetite,fever,weakness,,,,
Typhoid,HIGH,vomiting,diarrhea,abdominal pain,weakness,fever,headache,loss of appetite,
Typhoid,HIGH,abdominal pain,headache,vomiting,weakness,,,,
Typhoid,HIGH,weakness,diarrhea,vomiting,,,,,
Typhoid,HIGH,loss of appetite,weakness,fever,abdominal pain,headache,diarrhea,,
Typhoid,HIGH,diarrhea,abdominal pain,loss of appetite,vomiting,weakness,,,
Typhoid,HIGH,loss of appetite,diarrhea,fever,headache,,,,
Typhoid,HIGH,abdominal pain,fever,loss of appetite,,,,,
Typhoid,HIGH,headache,weakness,loss of appetite,vomiting,fever,abdominal pain,,
Typhoid,HIGH,fever,weakness,abdominal pain,vomiting,headache,diarrhea,loss of appetite,
Typhoid,HIGH,weakness,loss of appetite,fever,,,,,
Typhoid,HIGH,diarrhea,vomiting,fever,loss of appetite,weakness,,,
Typhoid,HIGH,weakness,headache,fever,vomiting,,,,
Typhoid,HIGH,abdominal pain,diarrhea,vomiting,,,,,
Typhoid,HIGH,headache,fever,diarrhea,abdominal pain,weakness,,,
Typhoid,HIGH,abdominal pain,fever,diarrhea,loss of appetite,,,,
Typhoid,HIGH,headache,abdominal pain,vomiting,diarrhea,,,,
Typhoid,HIGH,loss of appetite,fever,weakness,headache,abdominal pain,,,
Typhoid,HIGH,abdominal pain,fever,weakness,headache,vomiting,loss of appetite,diarrhea,
Typhoid,HIGH,diarrhea,vomiting,weakness,abdominal pain,loss of appetite,,,
Typhoid,HIGH,loss of appetite,diarrhea,headache,vomiting,fever,abdominal pain,,
Typhoid,HIGH,fever,headache,loss of appetite,abdominal pain,diarrhea,,,
Typhoid,HIGH,abdominal pain,vomiting,headache,weakness,,,,
Typhoid,HIGH,weakness,loss of appetite,headache,fever,,,,
Typhoid,HIGH,weakness,headache,loss of appetite,,,,,
Typhoid,HIGH,fever,headache,loss of appetite,weakness,diarrhea,vomiting,abdominal pain,
Typhoid,HIGH,abdominal pain,diarrhea,headache,vomiting,,,,
Pneumonia,HIGH,chills,difficulty breathing,cough,chest pain,fatigue,,,
Pneumonia,HIGH,fever,chest pain,cough,,,,,
Pneumonia,HIGH,fever,difficulty breathing,cough,fatigue,chest pain,chills,,
Pneumonia,HIGH,chills,chest pain,fever,difficulty breathing,,,,
Pneumonia,HIGH,chest pain,difficulty breathing,cough,,,,,
Pneumonia,HIGH,difficulty breathing,fatigue,chest pain,cough,chills,,,
Pneumonia,HIGH,fatigue,cough,chest pain,fever,chills,,,
Pneumonia,HIGH,cough,chills,chest pain,difficulty breathing,fever,,,
Pneumonia,HIGH,cough,fever,difficulty breathing,fatigue,chest pain,chills,,
Pneumonia,HIGH,chills,difficulty breathing,fever,cough,,,,
Pneumonia,HIGH,fatigue,chest pain,cough,chills,difficulty breathing,fever,,
Pneumonia,HIGH,fatigue,chills,difficulty breathing,,,,,
Pneumonia,HIGH,fever,fatigue,chest pain,,,,,
Pneumonia,HIGH,fever,chest pain,cough,,,,,
Pneumonia,HIGH,difficulty breathing,cough,fever,,,,,
Pneumonia,HIGH,chest pain,chills,fatigue,,,,,
Pneumonia,HIGH,fever,difficulty breathing,chest pain,chills,fatigue,,,
Pneumonia,HIGH,chills,fever,difficulty breathing,,,,,
Pneumonia,HIGH,chills,fever,fatigue,difficulty breathing,chest pain,cough,,
Pneumonia,HIGH,fever,cough,fatigue,chills,difficulty breathing,,,
Pneumonia,HIGH,chest pain,cough,fatigue,fever,chills,difficulty breathing,,
Pneumonia,HIGH,difficulty breathing,fatigue,chills,chest pain,,,,
Pneumonia,HIGH,chills,chest pain,fever,,,,,
Pneumonia,HIGH,fatigue,difficulty breathing,chills,cough,,,,
Pneumonia,HIGH,chills,difficulty breathing,chest pain,,,,,
Pneumonia,HIGH,fever,chest pain,chills,difficulty breathing,cough,fatigue,,
Pneumonia,HIGH,cough,chest pain,fever,,,,,
Pneumonia,HIGH,chest pain,difficulty breathing,fever,cough,fatigue,chills,,
Pneumonia,HIGH,chills,fever,fatigue,cough,,,,
Pneumonia,HIGH,difficulty breathing,fever,cough,fatigue,chills,,,
Pneumonia,HIGH,fever,chest pain,cough,fatigue,,,,
Pneumonia,HIGH,cough,fever,chills,,,,,
Pneumonia,HIGH,fatigue,chest pain,chills,difficulty breathing,,,,
Pneumonia,HIGH,chills,difficulty breathing,cough,fever,fatigue,chest pain,,
Pneumonia,HIGH,fever,chest pain,cough,fatigue,chills,,,
Pneumonia,HIGH,chest pain,chills,fever,difficulty breathing,,,,
Pneumonia,HIGH,cough,fatigue,chills,fever,difficulty breathing,chest pain,,
Pneumonia,HIGH,fatigue,chest pain,cough,fever,difficulty breathing,chills,,
Pneumonia,HIGH,fever,cough,fatigue,,,,,
Pneumonia,HIGH,chest pain,chills,cough,,,,,
Pneumonia,HIGH,difficulty breathing,cough,chills,chest pain,fever,fatigue,,
Pneumonia,HIGH,chills,cough,chest pain,difficulty breathing,fever,,,
Pneumonia,HIGH,chest pain,chills,cough,fatigue,,,,
Pneumonia,HIGH,difficulty breathing,fever,fatigue,chest pain,,,,
Pneumonia,HIGH,difficulty breathing,chills,cough,fatigue,chest pain,,,
Pneumonia,HIGH,fever,fatigue,chills,chest pain,,,,
Pneumonia,HIGH,fatigue,difficulty breathing,fever,chills,,,,
Pneumonia,HIGH,cough,fatigue,fever,,,,,
Pneumonia,HIGH,chills,fever,cough,,,,,
Pneumonia,HIGH,difficulty breathing,fever,cough,chills,,,,
Pneumonia,HIGH,fever,difficulty breathing,chest pain,chills,,,,
Pneumonia,HIGH,fever,difficulty breathing,cough,chills,chest pain,fatigue,,
Pneumonia,HIGH,cough,fatigue,chest pain,,,,,
Pneumonia,HIGH,fever,chills,chest pain,,,,,
Pneumonia,HIGH,cough,difficulty breathing,chills,,,,,
Pneumonia,HIGH,fatigue,cough,difficulty breathing,chills,,,,
Pneumonia,HIGH,chills,cough,chest pain,difficulty breathing,fever,,,
Pneumonia,HIGH,chest pain,fatigue,cough,,,,,
Pneumonia,HIGH,cough,fatigue,fever,chills,chest pain,,,
Pneumonia,HIGH,difficulty breathing,chest pain,cough,fever,,,,
Pneumonia,HIGH,chest pain,cough,chills,fatigue,difficulty breathing,fever,,
Pneumonia,HIGH,fever,cough,chest pain,chills,,,,
Pneumonia,HIGH,difficulty breathing,chills,fever,cough,,,,
Pneumonia,HIGH,fever,chest pain,difficulty breathing,,,,,
Pneumonia,HIGH,fever,chills,chest pain,fatigue,,,,
Pneumonia,HIGH,cough,fatigue,chills,chest pain,difficulty breathing,fever,,
Pneumonia,HIGH,chest pain,cough,chills,fever,fatigue,difficulty breathing,,
Pneumonia,HIGH,fever,difficulty breathing,chills,,,,,
Pneumonia,HIGH,chest pain,cough,fatigue,,,,,
Pneumonia,HIGH,difficulty breathing,fever,chills,,,,,
Pneumonia,HIGH,chills,fatigue,fever,cough,chest pain,,,
Pneumonia,HIGH,fever,fatigue,chills,difficulty breathing,cough,,,
Pneumonia,HIGH,chills,fever,cough,difficulty breathing,,,,
Pneumonia,HIGH,fever,chills,cough,fatigue,difficulty breathing,chest pain,,
Pneumonia,HIGH,cough,chest pain,fatigue,difficulty breathing,fever,,,
Pneumonia,HIGH,fatigue,fever,difficulty breathing,chills,cough,,,
Pneumonia,HIGH,difficulty breathing,fatigue,chest pain,cough,chills,,,
Pneumonia,HIGH,cough,fatigue,fever,,,,,
Pneumonia,HIGH,difficulty breathing,fatigue,chest pain,chills,fever,,,
Pneumonia,HIGH,difficulty breathing,chills,fatigue,,,,,
Meningitis,HIGH,stiff neck,blurred vision,vomiting,headache,fever,dizziness,,
Meningitis,HIGH,fever,vomiting,stiff neck,blurred vision,,,,
Meningitis,HIGH,stiff neck,vomiting,fever,blurred vision,,,,
Meningitis,HIGH,headache,vomiting,fever,,,,,
Meningitis,HIGH,blurred vision,fever,dizziness,headache,vomiting,stiff neck,,
Meningitis,HIGH,headache,fever,blurred vision,dizziness,,,,
Meningitis,HIGH,stiff neck,dizziness,vomiting,,,,,
Meningitis,HIGH,dizziness,headache,vomiting,stiff neck,blurred vision,fever,,
Meningitis,HIGH,vomiting,fever,headache,blurred vision,,,,
Meningitis,HIGH,vomiting,stiff neck,fever,,,,,
Meningitis,HIGH,blurred vision,vomiting,stiff neck,fever,headache,dizziness,,
Meningitis,HIGH,fever,blurred vision,stiff neck,,,,,
Meningitis,HIGH,vomiting,dizziness,fever,stiff neck,,,,
Meningitis,HIGH,vomiting,headache,blurred vision,dizziness,stiff neck,,,
Meningitis,HIGH,dizziness,vomiting,fever,stiff neck,,,,
Meningitis,HIGH,vomiting,blurred vision,fever,headache,dizziness,,,
Meningitis,HIGH,stiff neck,vomiting,blurred vision,,,,,
Meningitis,HIGH,dizziness,fever,blurred vision,vomiting,,,,
Meningitis,HIGH,headache,vomiting,fever,,,,,
Meningitis,HIGH,fever,blurred vision,dizziness,vomiting,,,,
Meningitis,HIGH,vomiting,fever,dizziness,headache,stiff neck,blurred vision,,
Meningitis,HIGH,dizziness,vomiting,blurred vision,headache,stiff neck,fever,,
Meningitis,HIGH,stiff neck,blurred vision,dizziness,vomiting,fever,,,
Meningitis,HIGH,stiff neck,dizziness,fever,vomiting,blurred vision,headache,,
Meningitis,HIGH,headache,fever,stiff neck,dizziness,,,,
Meningitis,HIGH,headache,vomiting,dizziness,,,,,
Meningitis,HIGH,stiff neck,vomiting,dizziness,fever,,,,
Meningitis,HIGH,dizziness,blurred vision,vomiting,stiff neck,headache,fever,,
Meningitis,HIGH,fever,blurred vision,dizziness,stiff neck,,,,
Meningitis,HIGH,fever,vomiting,dizziness,headache,blurred vision,stiff neck,,
Meningitis,HIGH,stiff neck,dizziness,blurred vision,,,,,
Meningitis,HIGH,dizziness,vomiting,fever,stiff neck,headache,blurred vision,,
Meningitis,HIGH,blurred vision,stiff neck,headache,vomiting,dizziness,,,
Meningitis,HIGH,headache,stiff neck,blurred vision,dizziness,,,,
Meningitis,HIGH,headache,blurred vision,stiff neck,,,,,
Meningitis,HIGH,vomiting,fever,headache,blurred vision,dizziness,,,
Meningitis,HIGH,dizziness,stiff neck,fever,vomiting,headache,blurred vision,,
Meningitis,HIGH,headache,blurred vision,dizziness,vomiting,,,,
Meningitis,HIGH,dizziness,headache,fever,stiff neck,blurred vision,vomiting,,
Meningitis,HIGH,stiff neck,blurred vision,headache,dizziness,fever,vomiting,,
Meningitis,HIGH,headache,blurred vision,dizziness,,,,,
Meningitis,HIGH,stiff neck,blurred vision,vomiting,dizziness,,,,
Meningitis,HIGH,fever,stiff neck,headache,dizziness,vomiting,blurred vision,,
Meningitis,HIGH,fever,dizziness,stiff neck,headache,vomiting,blurred vision,,
Meningitis,HIGH,vomiting,stiff neck,fever,,,,,
Meningitis,HIGH,blurred vision,headache,vomiting,stiff neck,,,,
Meningitis,HIGH,vomiting,fever,headache,,,,,
Meningitis,HIGH,blurred vision,stiff neck,headache,dizziness,vomiting,fever,,
Meningitis,HIGH,fever,headache,dizziness,blurred vision,vomiting,,,
Meningitis,HIGH,dizziness,stiff neck,fever,vomiting,headache,,,
Meningitis,HIGH,vomiting,fever,stiff neck,,,,,
Meningitis,HIGH,vomiting,blurred vision,headache,stiff neck,fever,dizziness,,
Meningitis,HIGH,dizziness,blurred vision,headache,,,,,
Meningitis,HIGH,blurred vision,dizziness,stiff neck,fever,vomiting,headache,,
Meningitis,HIGH,stiff neck,dizziness,vomiting,,,,,
Meningitis,HIGH,dizziness,fever,stiff neck,vomiting,blurred vision,,,
Meningitis,HIGH,blurred vision,stiff neck,dizziness,vomiting,headache,fever,,
Meningitis,HIGH,headache,vomiting,blurred vision,,,,,
Meningitis,HIGH,dizziness,blurred vision,fever,headache,vomiting,stiff neck,,
Meningitis,HIGH,stiff neck,dizziness,headache,,,,,
Meningitis,HIGH,dizziness,headache,vomiting,,,,,
Meningitis,HIGH,fever,blurred vision,vomiting,stiff neck,,,,
Meningitis,HIGH,blurred vision,fever,headache,vomiting,stiff neck,dizziness,,
Meningitis,HIGH,headache,fever,blurred vision,vomiting,dizziness,,,
Meningitis,HIGH,headache,fever,stiff neck,blurred vision,vomiting,dizziness,,
Meningitis,HIGH,headache,blurred vision,dizziness,stiff neck,vomiting,fever,,
Meningitis,HIGH,vomiting,headache,dizziness,,,,,
Meningitis,HIGH,stiff neck,vomiting,headache,blurred vision,dizziness,fever,,
Meningitis,HIGH,stiff neck,vomiting,blurred vision,headache,,,,
Meningitis,HIGH,fever,blurred vision,headache,dizziness,stiff neck,,,
Meningitis,HIGH,vomiting,dizziness,blurred vision,fever,stiff neck,,,
Meningitis,HIGH,dizziness,headache,blurred vision,vomiting,fever,,,
Meningitis,HIGH,fever,stiff neck,dizziness,blurred vision,,,,
Meningitis,HIGH,headache,stiff neck,dizziness,blurred vision,fever,vomiting,,
Meningitis,HIGH,headache,dizziness,blurred vision,fever,vomiting,,,
Meningitis,HIGH,fever,blurred vision,stiff neck,headache,,,,
Meningitis,HIGH,stiff neck,blurred vision,vomiting,,,,,
Meningitis,HIGH,fever,vomiting,stiff neck,headache,dizziness,blurred vision,,
Meningitis,HIGH,stiff neck,dizziness,blurred vision,fever,vomiting,headache,,
Meningitis,HIGH,fever,headache,stiff neck,vomiting,blurred vision,,,
Hepatitis B,HIGH,loss of appetite,yellow eyes,fever,abdominal pain,fatigue,,,
Hepatitis B,HIGH,nausea,fatigue,loss of appetite,,,,,
Hepatitis B,HIGH,abdominal pain,fever,yellow eyes,,,,,
Hepatitis B,HIGH,abdominal pain,yellow eyes,fatigue,loss of appetite,fever,nausea,,
Hepatitis B,HIGH,abdominal pain,loss of appetite,fever,fatigue,nausea,,,
Hepatitis B,HIGH,yellow eyes,fever,loss of appetite,abdominal pain,fatigue,nausea,,
Hepatitis B,HIGH,yellow eyes,nausea,fever,loss of appetite,,,,
Hepatitis B,HIGH,fever,loss of appetite,fatigue,,,,,
Hepatitis B,HIGH,loss of appetite,fever,nausea,,,,,
Hepatitis B,HIGH,loss of appetite,fever,yellow eyes,abdominal pain,,,,
Hepatitis B,HIGH,fever,abdominal pain,nausea,fatigue,,,,
Hepatitis B,HIGH,abdominal pain,loss of appetite,fatigue,,,,,
Hepatitis B,HIGH,loss of appetite,fatigue,nausea,fever,,,,
Hepatitis B,HIGH,fatigue,nausea,fever,yellow eyes,,,,
Hepatitis B,HIGH,fatigue,loss of appetite,abdominal pain,yellow eyes,fever,nausea,,
Hepatitis B,HIGH,yellow eyes,nausea,loss of appetite,fever,fatigue,,,
Hepatitis B,HIGH,abdominal pain,yellow eyes,nausea,fever,loss of appetite,fatigue,,
Hepatitis B,HIGH,yellow eyes,fatigue,abdominal pain,,,,,
Hepatitis B,HIGH,fatigue,abdominal pain,fever,,,,,
Hepatitis B,HIGH,fatigue,abdominal pain,fever,,,,,
Hepatitis B,HIGH,yellow eyes,fatigue,loss of appetite,abdominal pain,fever,nausea,,
Hepatitis B,HIGH,yellow eyes,fever,fatigue,nausea,loss of appetite,abdominal pain,,
Hepatitis B,HIGH,abdominal pain,fever,fatigue,nausea,,,,
Hepatitis B,HIGH,fatigue,nausea,fever,,,,,
Hepatitis B,HIGH,fever,loss of appetite,nausea,,,,,
Hepatitis B,HIGH,yellow eyes,nausea,fever,,,,,
Hepatitis B,HIGH,fever,nausea,abdominal pain,,,,,
Hepatitis B,HIGH,yellow eyes,nausea,loss of appetite,fever,fatigue,abdominal pain,,
